Country name,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Finland,7.804,0.036,7.875,7.733,10.792,0.969,71.15,0.961,-0.019,0.182,1.778,1.888,1.585,0.535,0.772,0.126,0.535,2.363
Denmark,7.586,0.041,7.667,7.506,10.962,0.954,71.25,0.934,0.134,0.196,1.778,1.949,1.548,0.537,0.734,0.208,0.525,2.084
Iceland,7.53,0.049,7.625,7.434,10.896,0.983,72.05,0.936,0.211,0.668,1.778,1.926,1.62,0.559,0.738,0.25,0.187,2.25
Israel,7.473,0.032,7.535,7.411,10.639,0.943,72.697,0.809,-0.023,0.708,1.778,1.833,1.521,0.577,0.569,0.124,0.158,2.691
Netherlands,7.403,0.029,7.46,7.346,10.942,0.93,71.55,0.887,0.213,0.379,1.778,1.942,1.488,0.545,0.672,0.251,0.394,2.11
Sweden,7.395,0.037,7.468,7.322,10.883,0.939,72.15,0.948,0.165,0.202,1.778,1.921,1.51,0.562,0.754,0.225,0.52,1.903
Norway,7.315,0.044,7.402,7.229,11.088,0.943,71.5,0.947,0.141,0.283,1.778,1.994,1.521,0.544,0.752,0.212,0.463,1.829
Switzerland,7.24,0.043,7.324,7.156,11.164,0.92,72.9,0.891,0.027,0.266,1.778,2.022,1.463,0.582,0.678,0.151,0.475,1.87
Luxembourg,7.228,0.069,7.363,7.093,11.66,0.879,71.675,0.915,0.024,0.345,1.778,2.2,1.357,0.549,0.71,0.149,0.418,1.845
New Zealand,7.123,0.038,7.198,7.048,10.662,0.952,70.35,0.887,0.175,0.271,1.778,1.842,1.544,0.513,0.672,0.23,0.471,1.852
Austria,7.097,0.04,7.176,7.018,10.899,0.888,71.15,0.855,0.102,0.497,1.778,1.927,1.382,0.535,0.63,0.191,0.31,2.124
Australia,7.095,0.044,7.18,7.009,10.821,0.934,71.05,0.89,0.198,0.496,1.778,1.899,1.497,0.532,0.677,0.242,0.31,1.938
Canada,6.961,0.042,7.042,6.879,10.773,0.929,71.4,0.874,0.153,0.42,1.778,1.881,1.484,0.541,0.656,0.218,0.364,1.815
Ireland,6.911,0.044,6.996,6.825,11.527,0.905,71.3,0.874,0.092,0.358,1.778,2.152,1.425,0.539,0.656,0.186,0.409,1.545
United States,6.894,0.047,6.986,6.802,11.048,0.919,65.85,0.8,0.137,0.689,1.778,1.98,1.46,0.39,0.557,0.21,0.172,2.124
Germany,6.892,0.049,6.989,6.795,10.879,0.896,71.3,0.846,0.03,0.42,1.778,1.919,1.401,0.539,0.618,0.153,0.365,1.898
Belgium,6.859,0.034,6.926,6.793,10.844,0.915,70.899,0.825,0.001,0.549,1.778,1.907,1.449,0.528,0.59,0.137,0.273,1.976
Czechia,6.845,0.044,6.931,6.759,10.611,0.953,69.05,0.903,0.04,0.859,1.778,1.823,1.544,0.477,0.693,0.158,0.05,2.099
United Kingdom,6.796,0.042,6.877,6.714,10.704,0.882,70.3,0.852,0.253,0.454,1.778,1.857,1.366,0.511,0.626,0.272,0.34,1.822
Lithuania,6.763,0.044,6.849,6.677,10.568,0.939,67.397,0.748,-0.145,0.805,1.778,1.808,1.511,0.432,0.487,0.059,0.089,2.377
France,6.661,0.038,6.735,6.588,10.701,0.909,72.3,0.819,-0.1,0.553,1.778,1.856,1.433,0.566,0.582,0.083,0.27,1.872
Slovenia,6.65,0.051,6.75,6.55,10.588,0.951,71.052,0.913,0.014,0.771,1.778,1.815,1.539,0.532,0.707,0.144,0.113,1.799
Costa Rica,6.609,0.052,6.71,6.507,9.952,0.872,70,0.895,-0.07,0.768,1.778,1.587,1.34,0.503,0.683,0.099,0.116,2.281
Romania,6.589,0.052,6.69,6.488,10.339,0.848,67.051,0.856,-0.172,0.929,1.778,1.726,1.28,0.423,0.631,0.044,0,2.485
Singapore,6.587,0.068,6.72,6.454,11.571,0.878,73.8,0.878,0.063,0.146,1.778,2.168,1.354,0.607,0.66,0.17,0.561,1.067
United Arab Emirates,6.571,0.043,6.656,6.486,11.145,0.826,66.243,0.942,0.096,0.584,1.778,2.015,1.223,0.401,0.745,0.188,0.247,1.752
Taiwan Province of China,6.535,0.047,6.627,6.444,10.797,0.884,69.6,0.804,-0.129,0.681,1.778,1.89,1.372,0.492,0.562,0.067,0.178,1.974
Uruguay,6.494,0.046,6.583,6.404,10.037,0.913,67.5,0.895,-0.065,0.575,1.778,1.617,1.445,0.435,0.683,0.102,0.254,1.958
Slovakia,6.469,0.056,6.578,6.36,10.353,0.953,68.838,0.753,-0.016,0.898,1.778,1.731,1.544,0.472,0.494,0.128,0.022,2.078
Saudi Arabia,6.463,0.061,6.581,6.344,10.715,0.884,64.399,0.894,-0.081,0.691,1.778,1.861,1.37,0.351,0.682,0.093,0.17,1.936
Estonia,6.455,0.04,6.534,6.377,10.541,0.946,69.65,0.929,0.032,0.409,1.778,1.798,1.526,0.494,0.728,0.153,0.372,1.383
Spain,6.436,0.042,6.519,6.354,10.54,0.932,72.35,0.782,-0.066,0.711,1.778,1.798,1.491,0.567,0.533,0.101,0.157,1.789
Italy,6.405,0.054,6.511,6.298,10.634,0.882,72.05,0.711,-0.074,0.842,1.778,1.832,1.365,0.559,0.438,0.097,0.063,2.052
